#width: 32
p d birth death 
2 0 8.64447 8.00705
2 0 8.13665 8.00134
2 0 9.01749 8.0008
2 0 8.92583 8.0001
2 0 8.52717 7.99818
2 0 8.80643 7.99718
2 0 8.2069 7.99319
2 0 8.07414 7.99245
2 0 8.38718 7.99245
2 0 11.7853 7.99213
2 0 7.9986 7.99002
2 0 8.03611 7.98851
2 0 7.9945 7.98219
2 0 8.51824 7.98124
2 0 8.20395 7.97406
2 0 8.46814 7.96909
2 0 8.34747 7.9671
2 0 8.16987 7.95985
2 0 8.0951 7.9587
2 0 10.667 7.95299
2 0 8.08896 7.95022
2 0 8.7166 7.94548
2 0 8.3081 7.94459
2 0 9.40293 7.94415
2 0 9.19197 7.94388
2 0 8.67897 7.9434
2 0 8.36874 7.93821
2 0 7.94384 7.93557
2 0 8.23905 7.93121
2 0 8.80846 7.93087
2 0 8.11848 7.92514
2 0 9.83316 7.92451
2 0 12.1178 7.92422
2 0 7.9227 7.92236
2 0 7.98361 7.92208
2 0 8.27929 7.92024
2 0 7.9591 7.91914
2 0 7.9304 7.91699
2 0 8.37424 7.91137
2 0 8.32069 7.90422
2 0 7.90607 7.90052
2 0 7.91748 7.89992
2 0 7.91422 7.89705
2 0 7.89407 7.89116
2 0 7.91037 7.89012
2 0 7.89458 7.88934
2 0 8.21371 7.88688
2 0 10.7224 7.8828
2 0 7.88484 7.8795
2 0 8.34181 7.87799
2 0 8.1134 7.86815
2 0 8.24871 7.86624
2 0 8.15495 7.8613
2 0 8.06406 7.85888
2 0 10.1955 7.85161
2 0 9.23653 7.84979
2 0 7.84845 7.84783
2 0 9.15989 7.84732
2 0 7.99617 7.84369
2 0 8.52689 7.84016
2 0 7.95678 7.83941
2 0 8.57425 7.83576
2 0 8.21627 7.82851
2 0 7.85878 7.82731
2 0 7.89332 7.81815
2 0 7.83273 7.81615
2 0 7.81695 7.81403
2 0 10.0419 7.81236
2 0 7.81494 7.81101
2 0 7.81066 7.81021
2 0 7.8268 7.80684
2 0 8.078 7.79935
2 0 8.50959 7.79782
2 0 8.37763 7.79757
2 0 9.15543 7.79316
2 0 8.07936 7.78305
2 0 7.93132 7.77381
2 0 8.53157 7.77359
2 0 8.33728 7.76998
2 0 7.96032 7.76792
2 0 9.45566 7.74805
2 0 8.45578 7.73784
2 0 7.74594 7.73601
2 0 9.25472 7.73005
2 0 7.73021 7.72788
2 0 9.84923 7.72746
2 0 8.91848 7.72657
2 0 7.87101 7.72656
2 0 8.00109 7.72369
2 0 7.721 7.71897
2 0 7.7204 7.71685
2 0 7.74337 7.71589
2 0 8.42965 7.70782
2 0 8.43562 7.693
2 0 9.23581 7.69277
2 0 8.58219 7.69235
2 0 8.85046 7.69004
2 0 8.49068 7.67945
2 0 8.29732 7.67894
2 0 9.19271 7.67338
2 0 8.25307 7.66933
2 0 7.78941 7.66708
2 0 8.84242 7.6643
2 0 9.26366 7.65805
2 0 8.21808 7.6562
2 0 7.8154 7.65424
2 0 8.18696 7.65037
2 0 7.65626 7.64943
2 0 9.45931 7.64699
2 0 7.85722 7.64366
2 0 9.31367 7.63917
2 0 7.79564 7.63754
2 0 7.63966 7.63629
2 0 8.01068 7.63381
2 0 7.64699 7.63227
2 0 7.84897 7.63102
2 0 7.90012 7.63102
2 0 7.63189 7.62974
2 0 9.57178 7.62927
2 0 7.92203 7.61795
2 0 7.6322 7.61746
2 0 9.43247 7.60514
2 0 7.68797 7.6032
2 0 8.67656 7.59899
2 0 7.7036 7.58738
2 0 7.6368 7.58213
2 0 7.7023 7.57957
2 0 7.87333 7.57491
2 0 7.96516 7.5722
2 0 7.94402 7.56431
2 0 7.5559 7.55566
2 0 7.92407 7.55538
2 0 7.55659 7.55493
2 0 7.56408 7.55395
2 0 7.55581 7.55395
2 0 7.55834 7.5528
2 0 7.5565 7.55258
2 0 7.56617 7.55244
2 0 7.55588 7.55095
2 0 7.5623 7.55011
2 0 7.55968 7.54828
2 0 7.55496 7.54683
2 0 7.55399 7.5463
2 0 8.18475 7.51581
2 0 7.61693 7.50344
2 0 7.58213 7.50253
2 0 7.61029 7.50084
2 0 7.56641 7.49532
2 0 9.78797 7.49401
2 0 7.89025 7.4914
2 0 7.57649 7.4851
2 0 7.66043 7.48467
2 0 8.18006 7.48395
2 0 7.51331 7.47806
2 0 7.68878 7.4757
2 0 7.59299 7.47543
2 0 7.69425 7.47432
2 0 7.75778 7.47376
2 0 8.57168 7.47259
2 0 8.56189 7.46954
2 0 9.0324 7.46902
2 0 8.53425 7.46581
2 0 7.46816 7.46559
2 0 7.47309 7.46523
2 0 7.64049 7.4604
2 0 8.89644 7.46002
2 0 7.99265 7.45694
2 0 7.59135 7.45517
2 0 7.59809 7.4528
2 0 7.84911 7.45021
2 0 8.43572 7.44424
2 0 7.66597 7.43368
2 0 7.51079 7.43112
2 0 8.42933 7.42763
2 0 7.8514 7.42457
2 0 7.4471 7.42187
2 0 7.71149 7.41997
2 0 8.79225 7.41825
2 0 8.73368 7.41085
2 0 7.68014 7.40657
2 0 8.29376 7.40575
2 0 7.52715 7.40383
2 0 7.91238 7.40383
2 0 9.08489 7.39905
2 0 7.93234 7.39765
2 0 7.82155 7.39559
2 0 8.37991 7.39228
2 0 7.53813 7.39054
2 0 7.42384 7.3886
2 0 7.49657 7.38685
2 0 7.39013 7.38635
2 0 7.39589 7.38457
2 0 8.33191 7.38134
2 0 7.4299 7.38119
2 0 7.38412 7.38092
2 0 7.38632 7.38081
2 0 7.38024 7.3791
2 0 7.39042 7.37873
2 0 7.48142 7.37768
2 0 7.3836 7.37757
2 0 7.50699 7.37688
2 0 7.37704 7.37681
2 0 7.41126 7.37666
2 0 7.70244 7.37657
2 0 7.38152 7.37596
2 0 7.54229 7.37589
2 0 7.3896 7.37587
2 0 7.37573 7.3755
2 0 7.39027 7.37536
2 0 7.37892 7.37488
2 0 7.39221 7.37484
2 0 7.37564 7.37434
2 0 7.37497 7.37428
2 0 7.37833 7.3742
2 0 7.37595 7.37407
2 0 7.3762 7.37385
2 0 7.37418 7.37382
2 0 7.37393 7.37375
2 0 15.1662 -inf
2 1 14.3587 14.0913
2 1 10.7565 10.7371
2 1 10.8541 10.6894
2 1 10.9732 10.5713
2 1 10.7691 10.5092
2 1 10.5302 10.4932
2 1 10.5711 10.4904
2 1 10.4332 10.2808
2 1 10.3742 10.1461
2 1 10.2796 10.1187
2 1 10.2818 10.0918
2 1 10.5612 10.0085
2 1 10.0077 9.63664
2 1 9.64671 9.62
2 1 10.3292 9.61047
2 1 9.5847 9.52468
2 1 9.68198 9.4814
2 1 9.44896 9.40475
2 1 9.37401 9.36743
2 1 9.49217 9.34212
2 1 9.35824 9.28085
2 1 9.40941 9.24627
2 1 9.53464 9.23064
2 1 10.332 9.22675
2 1 9.50263 9.19463
2 1 9.56314 9.15528
2 1 9.26929 9.11115
2 1 9.4902 9.11046
2 1 9.16565 9.10426
2 1 9.2743 9.10026
2 1 9.16206 9.09414
2 1 9.15231 9.09004
2 1 9.30402 9.03652
2 1 9.05573 9.02171
2 1 9.41978 9.01775
2 1 9.06994 9.01752
2 1 9.01888 9.01661
2 1 9.02519 9.00167
2 1 9.30118 8.99939
2 1 9.00122 8.98203
2 1 9.01168 8.97633
2 1 8.98118 8.97325
2 1 8.99986 8.96837
2 1 9.01191 8.96263
2 1 9.13881 8.9569
2 1 8.9743 8.94769
2 1 9.06248 8.9423
2 1 8.96701 8.91818
2 1 8.93975 8.91782
2 1 8.93586 8.90998
2 1 8.9126 8.9079
2 1 9.27808 8.90292
2 1 8.94529 8.90145
2 1 9.10475 8.88232
2 1 8.92181 8.86622
2 1 9.14748 8.85258
2 1 8.86149 8.82855
2 1 8.91669 8.82161
2 1 8.82048 8.81904
2 1 8.95633 8.80351
2 1 8.85038 8.79839
2 1 8.81535 8.79615
2 1 8.80711 8.78938
2 1 8.81144 8.77801
2 1 8.7956 8.77561
2 1 8.82938 8.76442
2 1 8.80119 8.76027
2 1 8.9892 8.75118
2 1 8.98119 8.74848
2 1 8.78066 8.74509
2 1 8.7832 8.73821
2 1 8.72991 8.72924
2 1 8.77687 8.7271
2 1 8.72981 8.7152
2 1 8.98703 8.71228
2 1 8.7711 8.7117
2 1 8.72074 8.71067
2 1 8.75649 8.71067
2 1 8.71432 8.7039
2 1 8.89917 8.69048
2 1 8.7618 8.68628
2 1 9.04642 8.68354
2 1 8.73053 8.67998
2 1 8.77861 8.67208
2 1 8.74904 8.67137
2 1 8.96632 8.66014
2 1 8.68793 8.65893
2 1 8.78885 8.64553
2 1 9.15028 8.63116
2 1 8.62572 8.62432
2 1 8.75775 8.60666
2 1 8.70475 8.60655
2 1 8.63778 8.60144
2 1 8.61251 8.60063
2 1 8.61578 8.60031
2 1 8.69127 8.60031
2 1 9.03614 8.59709
2 1 8.78035 8.58978
2 1 9.15941 8.58854
2 1 8.82702 8.5702
2 1 8.87745 8.56642
2 1 8.57228 8.56613
2 1 8.69787 8.56549
2 1 8.70995 8.55291
2 1 8.77513 8.55288
2 1 8.59661 8.54816
2 1 8.55002 8.52458
2 1 8.6341 8.51962
2 1 8.54229 8.51653
2 1 8.61858 8.51282
2 1 8.53443 8.50605
2 1 8.52545 8.50378
2 1 8.60147 8.50378
2 1 8.74041 8.49665
2 1 8.5003 8.4844
2 1 8.5343 8.47507
2 1 8.50291 8.46515
2 1 8.7618 8.46011
2 1 8.44624 8.43015
2 1 8.45753 8.42926
2 1 8.65028 8.42759
2 1 8.53267 8.42482
2 1 8.47024 8.42246
